Injection,Rep,DWP_core,CoreMassPriorInjection_g,CoreMassPostInjection_g
1,A,6,1761.7,1755.1
1,A,47,1978,1951.1
1,A,45,1622.6,1597.7
1,A,29,2065,1922.5
1,A,26,2018.8,2012.1
1,A,27,1944.2,1842.6
1,A,48,1280.9,1263.3
1,A,33,2332.5,2280.6
1,A,24,1999.7,1948.4
1,A,25,1845.6,1820.7
1,A,46,2231,2136.9
1,A,19,2120.6,2040.7
1,A,49,2037.3,2016.8
1,B,29,2065,1922.5
1,B,27,1944.2,1842.6
1,B,33,2332.5,2280.6
1,B,26,2018.8,2012.1
1,B,48,1280.9,1263.3
1,B,23,2078.7,1991.6
1,B,50,2236.7,2206.2
1,B,21,2168.5,2076
1,B,20,2020.2,1917.3
1,B,5,2031.8,2001.1
1,B,4,1106.6,1094.1
1,B,8,1691.7,1682.7
1,B,31,2275,2229.6
1,B,28,2055.9,1909.6
1,B,7,908.7,894.5
1,B,30,2248.6,2116.2
1,B,18,1963.2,1945.8
1,C,35,2076,2001.7
1,C,42,1962.7,1893.5
1,C,39,2227.9,2123
1,C,44,1490.7,1479.2
1,C,11,2193.3,2186
1,C,17,2130.7,2089.8
1,C,52,1606.4,1589.2
1,C,3,2627.1,2596
1,C,37,2203.8,2092.1
1,C,16,2184.6,2084.2
1,C,53,2049,2014
1,C,22,2002.6,1919.2
1,D,38,1966.3,1830.7
1,D,43,2229.7,2209.6
1,D,14,2190.1,2098.2
1,D,34,2067.3,1987.5
1,D,2,1304.5,1292.4
1,D,12,1958.4,1874.4
1,D,13,2064.4,1973.2
1,D,15,2136.4,2062
1,D,10,2414.7,2407.2
1,D,41,2242.6,2200.7
1,D,9,1272,1253.6
1,D,51,1003.5,988.8
1,D,34,1956.2,1870.9
1,D,36,2284.8,2181
1,D,40,2101.9,2026.8
2,A,4,1106.6,1094.1
2,A,2,1304.5,1292.4
2,A,7,908.7,894.5
