Injection,Rep,Valve,DWP_core,Start,End,Notes
1,A,1,6,2/7/15 15:00,2/10/15 7:25,
1,A,2,47,2/7/15 15:00,2/10/15 7:25,
1,A,3,45,2/7/15 15:00,2/10/15 7:25,
1,A,4,29,2/7/15 15:00,2/10/15 7:25,
1,A,5,26,2/7/15 15:00,2/10/15 7:25,
1,A,6,27,2/7/15 15:00,2/10/15 7:25,
1,A,7,48,2/7/15 15:00,2/10/15 7:25,
1,A,8,33,2/7/15 15:00,2/10/15 7:25,
1,A,9,24,2/7/15 15:00,2/10/15 7:25,
1,A,10,ambient,2/7/15 15:00,2/10/15 7:25,
1,A,11,25,2/7/15 15:00,2/10/15 7:25,
1,A,12,46,2/7/15 15:00,2/10/15 7:25,
1,A,13,CH4 blank,2/7/15 15:00,2/10/15 7:25,
1,A,14,19,2/7/15 15:00,2/10/15 7:25,
1,A,15,ambient,2/7/15 15:00,2/10/15 7:25,
1,A,16,49,2/7/15 15:00,2/10/15 7:25,
1,B,1,5,2/13/15 15:23,,
1,B,2,8,2/13/15 15:23,,
1,B,3,21,2/13/15 15:23,,
1,B,4,30,2/13/15 15:23,,
1,B,5,50,2/13/15 15:23,,
1,B,6,28,2/13/15 15:23,,
1,B,7,4,2/13/15 15:23,,
1,B,8,7,2/13/15 15:23,,
1,B,9,23,2/13/15 15:23,,
1,B,10,ambient,2/13/15 15:23,,
1,B,11,32,2/13/15 15:23,,Changed from 36 per SF June 4 2015
1,B,12,20,2/13/15 15:23,,
1,B,13,CH4 blank,2/13/15 15:23,,
1,B,14,31,2/13/15 15:23,,
1,B,15,ambient,2/13/15 15:23,,
1,B,16,18,2/13/15 15:23,,
1,C,1,35,2/19/15 15:02,,
1,C,2,42,2/19/15 15:02,,
1,C,3,39,2/19/15 15:02,,
1,C,4,44,2/19/15 15:02,,
1,C,5,11,2/19/15 15:02,,
1,C,6,17,2/19/15 15:02,,
1,C,7,52,2/19/15 15:02,,
1,C,8,3,2/19/15 15:02,,
1,C,9,38,2/19/15 15:02,,
1,C,10,ambient,2/19/15 15:02,,
1,C,11,37,2/19/15 15:02,,
1,C,12,16,2/19/15 15:02,,
1,C,13,CH4 blank,2/19/15 15:02,,
1,C,14,53,2/19/15 15:02,,
1,C,15,ambient,2/19/15 15:02,,
1,C,16,22,2/19/15 15:02,,
1,D,1,14,2/25/15 15:04,,
1,D,2,1,2/25/15 15:04,,
1,D,3,36,2/25/15 15:04,,
1,D,4,2,2/25/15 15:04,,
1,D,5,15,2/25/15 15:04,,
1,D,6,12,2/25/15 15:04,,
1,D,7,9,2/25/15 15:04,,
1,D,8,43,2/25/15 15:04,,
1,D,9,41,2/25/15 15:04,,
1,D,10,CH4 blank,2/25/15 15:04,,
1,D,11,10,2/25/15 15:04,,
1,D,12,13,2/25/15 15:04,,
1,D,13,51,2/25/15 15:04,,
1,D,14,34,2/25/15 15:04,,
1,D,15,ambient,2/25/15 15:04,,Changed from 15 per SF June 4 2015
1,D,16,40,2/25/15 15:04,,
2,A,10,ambient,7/3/15 10:56,,
2,A,11,ambient,7/3/15 10:56,,
2,A,12,-1,7/3/15 10:56,,"This is not a real DWP core number, obviously. See explanation in 2-summarize.R"
